,tweet_dt,id,username,name,tweet,like_count,reply_count,retweet_count,retweeted
0,2021-08-07,1424029708224798728,Michael07079,DosDogs,@Tocanepauli But Pfizer isn’t saying that.,0,0,0,False
1,2021-08-07,1424029691950866444,Firefly1319,firefly131,"This is Nuts, Moderna and Pfizer Intentionally Lost The Clinical Trial Control Group Testing Vaccine Efficacy and S… https://t.co/balVcowvfz",0,0,0,False
2,2021-08-07,1424029686468915204,LarryBoorstein,Laurence (Larry) Boorstein,@B52Malmet Pfizer BioNTech and Moderna vaxxes were developed on Trump's watch.  Janssen was in Phase III trials.  B… https://t.co/8xWN4slMeN,0,0,0,False
3,2021-08-07,1424029639895310338,vivjones10,Viv Jones,@ClodaghSnarks @mikelovestweets @david_pickworth @loj23 @AlStewartOBE Macron &amp; Merkel both caused vaccine uncertain… https://t.co/StAlopjzXY,0,0,0,False
4,2021-08-07,1424029626553311235,jm_desp,Jean-Marc Desperrier,@sexygirl798 @knowmiun @maudi63 @dunksalot @SueRic2 @kaitlancollins @SecBlinken You mean you have now idea what is… https://t.co/zc4bt90Usa,0,0,0,False
5,2021-08-07,1424029604700987394,andre__levy,André Levy: Ivermectin vs The Great Reset,"Adverse Reaction 69

Pfizer Jab
https://t.co/J9P9qqWD2M",0,0,0,False
6,2021-08-07,1424029577093988353,BigAsian35,Tommy Yoon (Kimchi Lover),@amicsta I am glad my Pfizer microchip is doing the job in protecting me.,0,0,0,False
7,2021-08-07,1424029549671731208,adamclarke3006,adam clarke,@APFactCheck pfizer is literally a multi billion dollar company do people not think that they have the power to pay… https://t.co/yobcYHhwj9,0,0,0,False
8,2021-08-07,1424029532768587781,Scofield_M23,Vladimir Putin KGB 🇿🇦 🇷🇺 🇨🇳,@News24 @BISouthAfrica Lol and thz Sisonke ppl r still spinning for Pfizer and J&amp;J.,0,0,0,False
9,2021-08-07,1424029521276280838,chriscarterdav1,Christine C Davies ,@rick_valentino @GillianMcKeith Yes. I got it from my double Pfizer vaxed 34 year old son.,0,0,0,False
10,2021-08-07,1424029459536023555,Lauren_Kelly,Lauren Kelly 💙❤️,Preliminary research findings suggest that the risk of developing heart inflammation from Covid-19 itself can be up… https://t.co/9gvmWzPV1L,0,0,0,False
11,2021-08-07,1424029387830136832,BubblesToBurst,Polly Tickal,I do not personally know anyone in Australia who has had Covid (that is likely to change soon as Delta is spreading… https://t.co/XaQdmL0uEj,0,0,0,False
12,2021-08-07,1424029304392925191,yungslowbruh,Yung Slowbruh,"@LincolnMontana0 @TremendousBacon @kenklippenstein @pfizer 0 followers, 0 tweets that aren't replies. Fuck off astro turf.",0,0,0,False
13,2021-08-07,1424029276018511876,KNAGreens,Resist we much,"Tom, I think he misspoke when he said J&amp;J and Pfizer produce the spike protein that invades the cells. I think he m… https://t.co/D0WIbLljPm",0,0,0,False
14,2021-08-07,1424029229583413254,TerryRo13117782,Terry Rogers,@petek_78 @carolJhedges @InlimboV @danielroytimms And they were the definition of a vaccine. They contained dead vi… https://t.co/XwKtMKzVXw,0,0,0,False
